bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly
PRJNA381642	SAMN06685737	B73	WGS of zea mays: inbred line B73	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2922_3807_2922_N_RIMMA0808.1_R1.fastq.gz	2922_3807_2922_N_RIMMA0808.1_R2.fastq.gz			
PRJNA381642	SAMN06685738	LH1	WGS of zea mays: inbred line LH1	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2920_3807_2920_Y_RIMMA0806-1_R1.fastq.gz	2920_3807_2920_Y_RIMMA0806-1_R2.fastq.gz			
PRJNA381642	SAMN06685739	LH123HT	WGS of zea mays: inbred line LH123HT	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2916_3807_2916_N_RIMMA0802.2_R1.fastq.gz	2916_3807_2916_N_RIMMA0802.2_R2.fastq.gz			
PRJNA381642	SAMN06685740	LH82	WGS of zea mays: inbred line LH82	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2914_3807_2914_N_RIMMA0800.1_R1.fastq.gz	2914_3807_2914_N_RIMMA0800.1_R2.fastq.gz			
PRJNA381642	SAMN06685741	MO17	WGS of zea mays: inbred line MO17	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2923_3807_2923_N_RIMMA0809.1_R1.fastq.gz	2923_3807_2923_N_RIMMA0809.1_R2.fastq.gz			
PRJNA381642	SAMN06685742	PH207	WGS of zea mays: inbred line PH207	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2924_3807_2924_N_RIMMA0810.1_R1.fastq.gz	2924_3807_2924_N_RIMMA0810.1_R2.fastq.gz			
PRJNA381642	SAMN06685743	PHG35	WGS of zea mays: inbred line PHG35	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2915_3807_2915_N_RIMMA0801.1_R1.fastq.gz	2915_3807_2915_N_RIMMA0801.1_R2.fastq.gz	PHG35_NoIndex_L002_R1_001.fastq.gz	PHG35_NoIndex_L002_R2_001.fastq.gz	
PRJNA381642	SAMN06685744	PHG39	WGS of zea mays: inbred line PHG39	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2913_3807_2913_N_RIMMA0799.2_R1.fastq.gz	2913_3807_2913_N_RIMMA0799.2_R2.fastq.gz			
PRJNA381642	SAMN06685745	PHG47	WGS of zea mays: inbred line PHG47	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2919_3807_2919_N_RIMMA0805.1_R1.fastq.gz	2919_3807_2919_N_RIMMA0805.1_R2.fastq.gz			
PRJNA381642	SAMN06685746	PHG84	WGS of zea mays: inbred line PHG84	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2000	"We extracted DNA from the 12 inbred lines and sheared the DNA on a Covaris (Woburn, Massachusetts) for library preparation"	fastq	2918_3807_2918_N_RIMMA0804.1_R1.fastq.gz	2918_3807_2918_N_RIMMA0804.1_R2.fastq.gz			
