trait,h,sd
TW,2.82378787878788,2.5381324237451
DTP,2.90242424242424,1.90861291607368
DTS,3.62772727272727,2.48579706793154
PHT,50.7004545454545,11.8004984812335
EHT,56.0048484848485,15.9104901285453
ASI,94.0116666666667,26.8795323095378
GY,182.001212121212,60.5195412437529
