trait,effa,effar,effd,effdr,effk,effkr,h2a,h2ar,h2d,h2dr,h2k,h2kr
ASI,0.220340272777904,-0.00210346776480868,0.940950884333858,-0.000127130427751084,0.494348406644536,0.00117289659055049,0.174754325450429,-0.00232908581405801,0.05291311297831,0.00332200400636914,0.174754458659214,-0.00232908509446737
DTS,0.237664635565849,0.0020266151889539,0.762281801521747,-0.000519139446156293,0.258755867369424,0.00193821587386173,5.01707167496032e-07,-0.00862509874219003,0.533085286655802,-0.00106974038776944,5.01707167496032e-07,-0.00862509874219003
DTP,0.102795337757848,0.00279996207781848,0.498822099964407,-0.00116077170072488,0.885516116699014,0.000247105192684216,1.39000176377685e-05,-0.00745772442611018,0.0575525222771351,-0.0032592956427576,1.39000176375967e-05,-0.00745772442611483
TW,0.028100382146204,0.0037686571594469,0.435097078668725,0.00133952689325919,0.971530632342979,6.12504233061525e-05,1.20139522088753e-06,-0.0083329213467534,0.217359342579812,-0.00211712297458978,6.64698638433582e-07,-0.0085319889122645
PHT,0.167487883950239,0.00236896467141561,0.814711848719618,-0.000402205022470299,0.299985267328685,-0.00177882589101765,5.7424781589389e-09,-0.00999531182635233,0.99595869337315,8.69286128988944e-06,6.31422533320408e-09,-0.00996806992561182
EHT,0.0146652515834508,0.00418854787719347,0.494699236885643,-0.00117194363761723,0.325101123129106,-0.00168883358467967,0.000101295148941626,-0.00667177198924697,0.393096914905172,0.00146569700220596,0.000117243781267912,-0.00661059044786931
GY,0.0433864101937978,0.00346675340559308,0.0370463957044405,0.00357879144399859,0.00251824788805481,0.00518498019358778,0.256746445954144,-0.0019464162088264,0.377579254107875,-0.00151435382728267,0.153645461603181,-0.00244868685574374
