trait,effa,effar,effd,effdr,effk,effkr,h2a,h2ar,h2d,h2dr,h2k,h2kr
ASI,1.03295756667185e-27,-0.0272024962283783,0.00923503487182331,0.00649192493696904,0.0414014255905562,0.00508608875933362,0.988431171612873,3.61601556134041e-05,0.205570687807015,-0.00315677177858824,0.988431481509012,3.61591869173904e-05
DTS,0.000134459182877134,0.0111664189166535,0.0135569952590298,-0.00722027865772145,0.0404973094990562,-0.00599151835096141,0.234947616870863,-0.00347363564308613,2.20696181776553e-13,-0.0214517138536579,0.234947616870863,-0.00347363564308613
DTP,0.586238288960815,0.00150064001940065,9.59187336847053e-25,-0.0283098608683604,1.68313242132117e-23,-0.0275379869117163,0.165778129580287,0.00382095389097101,8.95773395353316e-08,-0.0147402072655388,0.165778129580287,0.00382095389097101
TW,0.822289866599736,0.000557649111388221,0.405928524748365,0.00206344119806839,0.172005937620113,-0.00339102837940326,0.349095263009755,-0.00232479899568945,0.000404884353062862,-0.00878135835112784,0.0680162125792953,-0.00453092118330554
PHT,4.53544464651401e-07,0.0142640691431822,4.2632564145606e-12,0.0195876374423626,1.83921766705453e-11,0.0189942461079179,0.604259288442101,-0.00146545936557846,2.70737604265018e-05,-0.0118660461154954,0.478427019228055,-0.00200424021036484
EHT,8.88178419700125e-16,0.022583419416503,0.0209974833261088,0.00647906023981473,0.0159648103991343,0.00676451424470963,0.0644633509633272,0.00519039196360926,4.10973357122589e-11,-0.018526194548483,0.097322660130124,0.00465425969730555
GY,0,0.0375737006642667,0,0.0306474062891895,0,0.0324969104671841,2.83988326632567e-07,0.0123371446784623,1.13444986704043e-09,-0.0146330391389229,0.125812534745641,0.00367890525650609
