trait,effa,effar,effd,effdr,effk,effkr,h2a,h2ar,h2d,h2dr,h2k,h2kr
ASI,0.734321947497925,0.000588538710123695,0.650535945815402,0.000785599841651301,0.433608845284825,0.00135789138035113,0.27220418943292,-0.0019040942188489,0.156647411974852,0.0024563091066462,0.272204412293781,-0.00190409333378919
DTS,0.167780811611534,0.00239202801351779,0.25229911701818,-0.00198522121230488,0.102404590486299,0.00283238956087877,2.12194008289184e-05,-0.00737290447238866,0.513597231916645,0.00113282628663052,2.12194008289184e-05,-0.00737290447238866
DTP,0.270403247362776,0.00191126266581841,0.403087695819901,-0.00144995433592512,0.0160740197279553,-0.00417447637030774,8.65576065426265e-05,-0.00680728221370948,0.753765803952554,-0.000543963668122874,8.65576065426265e-05,-0.00680728221370948
TW,0.0392216696939918,0.00357554845693166,0.854238641198637,-0.000318585496224382,0.969003109630336,6.7386603572414e-05,5.41031263086349e-08,-0.00942882253423328,0.966704469242147,7.23866036109446e-05,2.7560779477258e-07,-0.00891231544772988
PHT,0.651584680194102,-0.00078307500988792,0.677782149761017,0.000720523722952152,0.90819713628969,0.000199969610061304,2.81404739509431e-07,-0.00890553021837521,0.610587506678026,-0.000883088815877075,2.59303729993826e-07,-0.00893216524391721
EHT,0.918286824156376,-0.000177909664202572,0.695522050968639,-0.000678697533145179,0.532985589318301,-0.00108116300265647,0.00140565393183501,-0.00553793833345153,0.846160933653923,0.000336457852877569,0.00150351911750961,-0.00550415074150905
GY,0.477660171039824,-0.00123136772511465,0.0831457036390985,0.00300478404114434,0.0243158759563371,0.00390546245439931,0.899324616672242,0.000219395014367228,0.910925200309684,0.000194001967462208,0.865290615349438,0.000294186736856539
