GERP2,meandaf
-0.9,0.343170574443142
1.17,0.133054928414097
1.16,0.160113916061849
1.12,0.098669601223561
-1.75,0.437469197261979
-0.67,0.3593781278962
1.61,0.178721835883171
2.6,0.0712382010419859
-0.65,0.383121915820029
0.67,0.174154761904762
-2.83,0.457028112449799
1.45,0.124300285306705
1.03,0.107068392981663
0.97,0.116890217592307
1.15,0.12020253164557
1.31,0.242086284289277
1.26,0.182025888958203
1.1,0.153029455909944
-0.48,0.431586630286494
1.35,0.229996572734196
0.56,0.554425672298311
-2.67,0.474159680638723
1.13,0.112671038861369
3.71,0.23176072234763
1.48,0.100873381877023
4.24,0.0617333333333333
1.68,0.193361829025845
4.07,0.125165562913907
4.48,0.0858862559241706
1.14,0.120342157347848
-1.58,0.390489836588282
0.34,0.245229625447017
-3.65,0.475136231884058
-1.24,0.447901403249631
1.46,0.204936086956522
-0.93,0.406844248941023
-1.25,0.433049356969065
1.3,0.108976758225174
1.32,0.26276231292517
-0.44,0.460398741346759
1.62,0.0825548224335339
-1.9,0.412751863684771
1.7,0.077266849073812
-0.62,0.400431102963642
1.49,0.376452506928697
0.53,0.502840197044335
0.3,0.336911728009981
-1.19,0.390661319073084
-1.21,0.426416184971098
-1.62,0.392446266968326
-1.1,0.361441497659906
-3.15,0.537418136020151
1.33,0.0832932944736139
0.57,0.23401452991453
-2,0.387265146970606
-0.43,0.281712776831346
0.62,0.202368559789121
0.58,0.319249282571265
-1.8,0.482487141444115
2.07,0.0808908854166667
1.56,0.1374336996337
0.96,0.208636758538047
0.98,0.165232687793427
0.5,0.16057519379845
1.9,0.200942708333333
-0.32,0.457240197007009
1.37,0.296946701846966
3.53,0.169255591054313
0.45,0.384386988393403
-4.66,0.456331818181818
-0.18,0.382166562434855
2.92,0.122359338061466
0.86,0.172673746813934
2.13,0.187518318965517
3.67,0.260708407871199
3.68,0.118597402597403
4.7,0.047247582205029
1.79,0.109356164383562
3.59,0.0729988626023658
2.58,0.0943656609195402
0.52,0.159442379182156
1.51,0.120432848965214
1.57,0.198900879296563
1.07,0.152496382730455
0.15,0.285321318804135
-0.19,0.277590862157976
0.14,0.474797415031115
0.13,0.288071614844534
1.5,0.270295830575778
-0.8,0.350807431225438
2.33,0.140776286353468
2.05,0.157940526762957
-0.83,0.382408480780964
-1.15,0.410381415929204
-1.2,0.364880572372042
-2.23,0.496151661129568
0.06,0.400663761547847
-0.09,0.353871317157712
-1.18,0.35976350320415
0.02,0.362946721311475
-1.87,0.439171740379092
0.68,0.398580256757834
1.25,0.0969531131032789
0.23,0.228057403008709
0.01,0.217777802842319
1.83,0.153782442748092
2.86,0.17596875
3.07,0.10497619047619
-3.76,0.472148036253776
1.04,0.124058692628651
0.26,0.274224266936299
-2.36,0.450948637316562
-0.15,0.304226671309192
0,0.27635614452751
0.84,0.199302079714101
1.81,0.133341155234657
-5.7,0.460055555555556
2.04,0.183677215189873
-6.02,0.458203125
-0.23,0.492822125558429
2.97,0.176890909090909
1.94,0.157489389920424
0.47,0.286743936243936
2.09,0.0881736047991274
-4.18,0.522247918593895
0.7,0.164861609195402
2.98,0.183673306772908
-0.92,0.439125575400479
0.46,0.252907601506055
-2.19,0.492374045801527
0.76,0.1622729192328
-0.05,0.349994681898759
-0.74,0.465965039006068
-0.11,0.294558133368686
-0.08,0.330592632719393
-0.02,0.346655632411067
0.11,0.286018212862834
-0.33,0.33712015243219
0.1,0.227719408565602
0.05,0.480407056345445
-2.5,0.466999697866941
-1.56,0.40310110864745
-1.37,0.442187328662808
3.88,0.118270833333333
-0.13,0.400283512064343
0.24,0.171698505869797
1.84,0.184958139534884
0.42,0.210186114494519
2,0.139670226969292
2.2,0.10858658008658
-4.4,0.493637526652452
2.1,0.171030526315789
1.87,0.211339382940109
-2.65,0.490384308510638
0.18,0.424855535820012
1.53,0.0924156789353296
2.29,0.109108604845447
1.42,0.190042918454936
3.31,0.0769565217391304
0.74,0.180316479196243
1.88,0.118499760879962
2.35,0.191326278659612
1.34,0.101163192625956
4.94,0.0555547445255474
6,0.0412150993377483
-1.48,0.40925568045922
0.65,0.146300377536574
2.71,0.207112804878049
4.16,0.197045977011494
0.91,0.253230799373041
0.73,0.232242410714286
3.66,0.133843511450382
-1.85,0.425722732491389
-7.33,0.429111111111111
-4.65,0.552210526315789
0.54,0.122850940975192
1.01,0.140902306967985
-2.89,0.458819391634981
-2.47,0.450270992366412
-1.41,0.439555724417427
-2.53,0.469433484162896
-3.88,0.435287128712871
-4.49,0.463265625
2.83,0.204467391304348
0.35,0.384466384180791
-0.49,0.364528510638298
0.2,0.274853105906314
-2.6,0.415608445297505
-1.83,0.408857843137255
-2.64,0.436631425800194
-1.76,0.423959384352287
3.56,0.172009389671362
-2.81,0.497557575757576
-0.46,0.406953056234719
-0.34,0.401787954830615
-1.63,0.431712084737602
-0.35,0.283073963232151
-0.41,0.313107692307692
-1.79,0.384718309859155
-0.38,0.284232169954476
0.89,0.122709924768519
-1.78,0.434208010923987
-0.72,0.360007975188303
-0.28,0.358679853065838
0.8,0.18286277644551
-2.07,0.42204248956656
-1.98,0.462161303802758
0.95,0.163088252370815
-0.24,0.38923387330055
-1.64,0.435395833333333
-1.38,0.342822583265638
-1.35,0.418572377158035
-1.86,0.420047920133111
-1.42,0.31078200943054
0.31,0.227489089541008
-0.52,0.360743143615453
-4.74,0.472666666666667
-0.47,0.40453331238215
-0.5,0.384572180011689
-1.52,0.398196486825596
-1.69,0.345194992496065
-2.04,0.444905312993161
0.99,0.13618121968122
-0.77,0.33691322815534
1.21,0.171213895781638
