dafbin2,vargerp
0.06,0.859877014425966
0.49,0.897072605566781
0,1.101645227575
0.12,0.854796602615658
0.01,0.92201863273554
0.02,0.898106143616841
0.22,0.801220381165372
0.23,0.802660467304217
0.08,0.871835701209496
0.21,0.811665831471096
0.33,0.864313862593308
0.09,0.852735618120889
0.07,0.867049456612709
0.2,0.889315573577991
0.42,0.843221229701323
0.28,0.885339960214993
0.27,0.861722881728004
0.35,0.751526641682921
0.3,0.805366057126864
0.34,0.803014000096671
0.32,0.784081422577112
0.29,0.863503450678074
0.36,0.820973008570589
0.16,0.856151136366324
0.37,0.806015223355757
0.04,0.900454586796079
0.03,0.878230651812591
0.14,0.834865884485867
0.41,0.911759227160655
0.15,0.79333341120685
0.1,0.834556581035556
0.46,0.938317518087242
0.47,0.908055728905081
0.45,0.874596751766495
0.43,0.876987182769112
0.11,0.842667730344451
0.38,0.857244039013813
0.25,0.788551684723543
0.24,0.85637272537339
0.48,0.901697685145626
0.17,0.825002804101199
0.18,0.814038774423139
0.05,0.864840221881794
0.44,0.898222198439895
0.31,0.816168507631762
0.26,0.830330642936638
0.39,0.89184185588276
0.4,0.859030060810332
0.5,0.958449813174832
0.19,0.844060541273114
0.13,0.802934121786822
0.68,0.854679885984529
0.71,0.824716144928995
1,0.789579409864187
0.91,0.666525842465392
0.98,0.646337901340794
0.61,0.876505950705406
0.99,0.62616992063522
0.92,0.649582682489242
0.96,0.624466682044577
0.94,0.643489205542073
0.95,0.672001067355932
0.97,0.576300885052648
0.8,0.742785160184896
0.75,0.682230847035293
0.84,0.780814361833857
0.54,0.918225763496614
0.56,0.894996723417797
0.86,0.713752105128845
0.57,0.868702577942479
0.62,0.793013752635162
0.59,0.861641417114979
0.58,0.784329691663509
0.81,0.677836461689288
0.55,0.765843628543111
0.67,0.715220345930067
0.69,0.778899535093807
0.51,0.913080500670867
0.64,0.759234396077063
0.7,0.698565252697261
0.77,0.694009176659119
0.63,0.79202299575498
0.78,0.679559600350126
0.53,0.873462474593895
0.66,0.75043157550477
0.74,0.63821013739901
0.82,0.645452995165822
0.6,0.747523138039656
0.79,0.701009125526565
0.88,0.660310728347601
0.93,0.718269937217178
0.72,0.710617780545323
0.65,0.775962123416127
0.73,0.681721125684328
0.87,0.711870191307611
0.76,0.723985685042593
0.85,0.670687493504898
0.89,0.696693453464508
0.52,0.838428896987542
0.9,0.636461411961511
0.83,0.671712983254862
