dafbin3,vargerp
0.062,0.865363353136916
0.493,1.06744294502076
0.005,0.931206958740515
0.121,1.00699779656834
0.013,0.887558738782706
0.001,1.30466330414237
0.02,0.920246343588262
0.219,0.793643693493823
0.218,0.7812899830241
0.227,0.930088748930503
0.082,0.845440107755978
0.01,0.92696035685441
0.213,0.762160660324336
0.002,1.04726310921931
0.326,0.993027090982295
0.091,0.829995359843748
0.015,0.895525674635712
0.003,1.00514034198436
0.093,0.851326585112627
0.07,0.880762688565026
0.008,0.953197691966317
0.201,0.991580067694147
0.33,0.82383181292492
0.017,0.909140224506611
0.416,0.941624820836896
0.064,0.81423538846531
0.069,0.799304615662182
0.206,0.81198643180925
0.275,0.815596751418314
0.006,0.933196422623431
0.004,0.971082715192687
0.328,0.888717433958708
0.327,0.818975168924175
0.075,0.793428230522055
0.333,0.698200564927322
0.27,0.752138970476673
0.353,0.505572585715873
0.3,0.787856180654677
0.011,0.897065988794002
0.337,0.887005642932602
0.08,0.866253349197183
0.32,0.980338878963718
0.009,0.924846247299827
0.288,0.968808854925668
0.331,0.964480085258171
0.202,0.828399097369829
0.012,0.903272875138969
0.063,0.839536818832954
0.007,0.925219668820949
0.36,0.753157411738821
0.161,0.843078860312795
0.342,0.775577911205063
0.369,0.847236618617825
0.363,0.895355235024915
0.37,0.821706504211209
0.355,0.812264061640096
0.016,0.882947071121857
0.298,0.813152876632691
0.041,0.84528911239161
0.078,0.883186437017982
0.071,0.770382685655063
0.021,0.854391961183928
0.018,0.872061378658413
0.045,0.908004120669616
0.042,0.961759268121334
0.033,0.915336008838831
0.031,0.830695516651562
0.019,0.884450308832364
0.025,0.922959867197131
0.043,0.914562050184886
0.06,0.862081811478955
0.038,0.98872794814754
0.065,0.867996220690196
0.028,0.819208573293569
0.026,0.854882850876467
0.036,0.885784848129247
0.027,0.92453705754558
0.022,0.951008213925927
0.143,0.945620263232035
0.014,0.899082483680877
0.024,0.87642385346094
0.408,0.869346122423182
0.152,0.795655001287752
0.149,0.753856668986159
0.1,0.844257950108297
0.104,0.742402976131939
0.144,0.900675062783002
0.461,0.934038019246364
0.466,0.804376164097935
0.447,0.73855424972236
0.43,0.910901464939883
0.072,0.839574506224805
0.084,0.799810897800266
0.039,0.898518694813477
0.114,0.915670961056203
0.11,0.900993082751407
0.332,0.85943652471454
0.381,0.647181388961275
0.291,1.08322879561267
0.059,0.822623836928961
0.268,0.66561912144047
0.044,0.862059921472628
0.145,0.822212395922329
0.076,0.903758168341544
0.225,0.782262694234838
0.246,0.829483781161405
0.158,0.885961664936114
0.323,0.684225770345573
0.385,0.667733624606461
0.325,0.705353548508635
0.034,0.885229814889469
0.067,0.967934100236446
0.235,0.851329537815018
0.269,0.84301793375552
0.278,0.683804480715913
0.379,1.00598090761753
0.057,0.914744754143673
0.361,0.774144623367426
0.205,0.889208397569248
0.449,0.943196654931289
0.476,0.981727138401228
0.023,0.928641186155175
0.338,0.811427072311404
0.34,0.698241122310254
0.077,0.884448842003341
0.252,0.905658857489
0.249,0.905386573506761
0.427,0.673614132759419
0.212,0.603659160191606
0.112,0.760091237697781
0.477,0.775252004102925
0.097,0.848676717458488
0.406,0.935815663992572
0.21,0.828284205493938
0.426,0.874727538714639
0.172,0.723519318651458
0.179,0.805968117863794
0.216,0.76169864386886
0.418,0.789727958420551
0.494,0.639342845577496
0.356,1.00715202698924
0.358,0.719578185998504
0.051,0.988115472806333
