trait,A,D
ASI,0.545966983556626,1.6556058977289e-07
DTP,0.99999997918945,2.0175921273611e-12
DTS,0.998739238254346,4.40808341458636e-22
EHT,0.935953392318511,0.0427914341124917
GY,0.649798521136709,0.350201476827067
PHT,0.948393708833454,0.0516062865534389
TW,0.722767852197464,0.109759372940843
